,Site_Name,Hrs_On,Oil_(BBL),Gas_(MCF),Water_(BBL),Tubing_(PSI),Casing_(PSI,Remarks,Date
2192,CROC 1H,24:00:00,13.31,8.3,0.01,200,70,"12on/12off, 6.5spm",2020-12-02
2193,GALAH 3H,24:00:00,0.01,4.0,0.01,30,40,shut down down hole problem,2020-12-02
2194,GOANNA 1H,24:00:00,22.16,43.88,12.92,100,86,,2020-12-02
2195,GREAT WHITE 1H,24:00:00,71.67,18.0,20.0,125,90,Chem Treated(12/1),2020-12-02
2196,GREAT WHITE 2H,24:00:00,38.33,46.0,15.0,125,90,,2020-12-02
2197,JAVELINA 1H,24:00:00,15.01,16.0,18.33,130,80,"12hrs on/12hrs off, 7.3spm",2020-12-02
2198,MANTA 1H,24:00:00,39.05,49.56,27.9,200,80,Avg- 6.5spm,2020-12-02
2199,REEF 3H,24:00:00,40.33,40.06,12.08,200,70,6.5spm,2020-12-02
2200,RIDGEBACK 1H,24:00:00,8.35,14.0,9.99,120,80,7.1spm,2020-12-02
2201,SEA WASP 2H,24:00:00,17.22,51.63,5.0,200,80,,2020-12-02
2202,STINGRAY 2H,24:00:00,21.73,26.0,15.0,200,100,"12hrs on/12hrs off, 6.6spm",2020-12-02
2207,Summary,,430.33,635.34,246.23,,,,2020-12-02
2203,THORNY DEVIL 1H,24:00:00,69.9,125.53,35.0,250,100,,2020-12-02
2204,THORNY DEVIL 2H,24:00:00,43.18,124.85,23.34,180,120,,2020-12-02
2205,THORNY DEVIL 3H,24:00:00,16.73,17.53,8.33,180,90,,2020-12-02
2206,WOMBAT 2H,24:00:00,13.36,50.0,43.34,140,80,,2020-12-02
2208,CROC 1H,24:00:00,6.65,8.69,3.75,200,70,"12on/12off, 6.5spm",2020-12-01
2209,GALAH 3H,24:00:00,22.81,115.87,11.67,70,70,H/O 20bbls oil flowline 50bbls fresh water csg,2020-12-01
2210,GOANNA 1H,24:00:00,21.31,42.56,13.75,100,89,,2020-12-01
2211,GREAT WHITE 1H,4:00,6.66,27.0,14.16,125,90,DOA(high separator liquid level). BOL.,2020-12-01
2212,GREAT WHITE 2H,24:00:00,55.01,79.0,30.0,125,90,,2020-12-01
2213,JAVELINA 1H,24:00:00,20.0,15.0,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-12-01
2214,MANTA 1H,24:00:00,22.32,31.29,23.98,200,80,Avg- 6.5spm,2020-12-01
2215,REEF 3H,24:00:00,29.11,30.07,5.0,200,70,6.5spm,2020-12-01
2216,RIDGEBACK 1H,24:00:00,20.16,6.0,5.67,120,80,7.1spm,2020-12-01
2217,SEA WASP 2H,24:00:00,17.95,39.29,2.92,180,80,,2020-12-01
2218,STINGRAY 2H,24:00:00,18.39,5.0,1.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-12-01
2223,Summary,,380.78,675.41,220.91,,,,2020-12-01
2219,THORNY DEVIL 1H,24:00:00,61.93,109.84,36.25,250,100,,2020-12-01
2220,THORNY DEVIL 2H,24:00:00,40.57,126.69,17.08,180,120,,2020-12-01
2221,THORNY DEVIL 3H,24:00:00,26.22,28.11,10.01,180,90,,2020-12-01
2222,WOMBAT 2H,24:00:00,11.69,11.0,38.33,140,80,,2020-12-01
2224,CROC 1H,24:00:00,11.64,19.47,16.25,617,0,"12on/12off, 6.5spm",2020-11-30
2225,GALAH 3H,24:00:00,28.85,131.5,23.75,180,90,drained bottoms,2020-11-30
2226,GOANNA 1H,24:00:00,22.58,37.27,26.66,100,94,,2020-11-30
2227,GREAT WHITE 1H,24:00:00,55.0,49.34,5.0,125,90,,2020-11-30
2228,GREAT WHITE 2H,24:00:00,41.66,44.68,5.0,125,90,,2020-11-30
2229,JAVELINA 1H,24:00:00,20.01,16.06,6.66,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-30
2230,MANTA 1H,24:00:00,29.97,48.54,9.76,200,80,Avg- 6.5spm,2020-11-30
2231,REEF 3H,24:00:00,54.91,52.99,1.25,200,70,6.5spm,2020-11-30
2232,RIDGEBACK 1H,24:00:00,14.86,4.92,3.33,120,80,7.1spm,2020-11-30
2233,SEA WASP 2H,24:00:00,9.61,44.61,7.08,200,80,,2020-11-30
2234,STINGRAY 2H,24:00:00,21.73,6.52,8.33,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-30
2239,Summary,,441.04,740.36,190.57,,,,2020-11-30
2235,THORNY DEVIL 1H,24:00:00,55.7,97.01,36.67,220,100,Changed pumping unit to 7.5 spm on auto,2020-11-30
2236,THORNY DEVIL 2H,24:00:00,39.86,126.88,20.0,180,120,,2020-11-30
2237,THORNY DEVIL 3H,24:00:00,14.62,22.51,2.5,180,90,,2020-11-30
2238,WOMBAT 2H,24:00:00,20.04,38.06,18.33,140,80,,2020-11-30
2240,CROC 1H,24:00:00,21.69,7.66,6.24,200,70,"12on/12off, 6.5spm",2020-11-29
2241,GALAH 3H,24:00:00,28.4,131.87,21.25,180,90,,2020-11-29
2242,GOANNA 1H,24:00:00,24.25,45.84,16.25,106,88,,2020-11-29
2243,GREAT WHITE 1H,24:00:00,58.35,56.54,34.33,125,90,,2020-11-29
2244,GREAT WHITE 2H,24:00:00,56.67,78.83,33.0,125,90,,2020-11-29
2245,JAVELINA 1H,24:00:00,20.01,15.94,8.34,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-29
2246,MANTA 1H,24:00:00,31.39,48.54,28.6,200,80,Avg- 6.5spm,2020-11-29
2247,REEF 3H,24:00:00,35.76,32.98,2.08,37,37,6.5spm,2020-11-29
2248,RIDGEBACK 1H,24:00:00,16.71,4.5,6.67,120,80,7.1spm,2020-11-29
2249,SEA WASP 2H,24:00:00,14.62,49.5,7.92,200,80,,2020-11-29
2250,STINGRAY 2H,24:00:00,18.95,25.88,5.0,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-29
2255,Summary,,456.82,785.26,263.43,,,,2020-11-29
2251,THORNY DEVIL 1H,24:00:00,48.85,91.15,45.0,220,100,,2020-11-29
2252,THORNY DEVIL 2H,24:00:00,42.34,127.81,20.0,180,120,,2020-11-29
2253,THORNY DEVIL 3H,24:00:00,18.79,26.04,12.08,180,90,,2020-11-29
2254,WOMBAT 2H,24:00:00,20.04,42.18,16.67,140,80,,2020-11-29
2256,CROC 1H,24:00:00,6.68,7.86,1.67,200,70,"12on/12off, 6.5spm",2020-11-28
2257,GALAH 3H,24:00:00,29.24,134.55,12.49,180,90,,2020-11-28
2258,GOANNA 1H,24:00:00,25.1,43.65,18.33,110,90,,2020-11-28
2259,GREAT WHITE 1H,24:00:00,51.11,60.72,31.67,125,90,,2020-11-28
2260,GREAT WHITE 2H,24:00:00,41.13,44.15,17.0,125,90,,2020-11-28
2261,JAVELINA 1H,24:00:00,20.0,16.84,6.66,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-28
2262,MANTA 1H,24:00:00,25.1,29.78,4.88,200,80,Avg- 6.5spm,2020-11-28
2263,REEF 3H,24:00:00,28.28,33.22,18.34,200,70,6.5spm,2020-11-28
2264,RIDGEBACK 1H,24:00:00,15.04,7.0,5.0,120,80,7.1spm,2020-11-28
2265,SEA WASP 2H,24:00:00,14.2,48.4,2.5,200,80,,2020-11-28
2266,STINGRAY 2H,24:00:00,25.07,14.82,16.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-28
2271,Summary,,409.53,720.16,223.54,,,,2020-11-28
2267,THORNY DEVIL 1H,24:00:00,47.38,79.38,50.83,220,100,,2020-11-28
2268,THORNY DEVIL 2H,24:00:00,41.52,127.72,20.0,180,120,,2020-11-28
2269,THORNY DEVIL 3H,24:00:00,22.98,36.38,2.5,180,90,,2020-11-28
2270,WOMBAT 2H,24:00:00,16.7,35.69,15.0,140,80,,2020-11-28
2272,CROC 1H,24:00:00,6.7,9.9,5.0,200,70,"12on/12off, 6.5spm",2020-11-27
2273,GALAH 3H,24:00:00,29.66,128.79,4.59,180,90,,2020-11-27
2274,GOANNA 1H,24:00:00,23.41,49.77,15.0,100,90,,2020-11-27
2275,GREAT WHITE 1H,24:00:00,61.67,62.36,36.67,125,90,,2020-11-27
2276,GREAT WHITE 2H,24:00:00,46.67,82.45,35.0,125,90,,2020-11-27
2277,JAVELINA 1H,24:00:00,22.18,16.94,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-27
2278,MANTA 1H,24:00:00,13.95,26.31,5.58,200,80,,2020-11-27
2279,REEF 3H,24:00:00,40.75,56.13,27.08,200,70,6.5spm,2020-11-27
2280,RIDGEBACK 1H,24:00:00,15.04,6.22,3.33,120,80,7.1spm,2020-11-27
2281,SEA WASP 2H,24:00:00,20.05,55.95,7.91,200,80,,2020-11-27
2282,STINGRAY 2H,24:00:00,25.07,4.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-27
2287,Summary,,409.18,753.9,250.83,,,,2020-11-27
2283,THORNY DEVIL 1H,24:00:00,30.75,79.65,67.5,220,100,,2020-11-27
2284,THORNY DEVIL 2H,24:00:00,41.52,129.27,21.67,180,120,,2020-11-27
2285,THORNY DEVIL 3H,24:00:00,15.04,16.73,0.01,180,90,,2020-11-27
2286,WOMBAT 2H,24:00:00,16.72,29.43,14.0,140,80,,2020-11-27
2288,CROC 1H,24:00:00,11.65,20.45,10.0,200,70,"12on/12off, 6.5spm",2020-11-26
2289,GALAH 3H,24:00:00,33.01,129.93,8.75,180,90,,2020-11-26
2290,GOANNA 1H,24:00:00,15.09,28.37,11.67,120,90,,2020-11-26
2291,GREAT WHITE 1H,24:00:00,55.0,47.99,7.33,125,90,,2020-11-26
2292,GREAT WHITE 2H,24:00:00,40.0,42.02,7.0,125,90,,2020-11-26
2293,JAVELINA 1H,24:00:00,20.02,17.0,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-26
2294,MANTA 1H,24:00:00,33.51,55.2,27.9,200,80,Avg- 6.5spm,2020-11-26
2295,REEF 3H,24:00:00,28.27,31.46,1.67,200,70,6.5spm,2020-11-26
2296,RIDGEBACK 1H,24:00:00,18.38,14.0,1.67,120,80,7.1spm,2020-11-26
2297,SEA WASP 2H,24:00:00,15.04,45.83,4.59,200,80,,2020-11-26
2298,STINGRAY 2H,24:00:00,20.06,20.44,13.33,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-26
2303,Summary,,379.08,651.47,231.84,,,,2020-11-26
2299,THORNY DEVIL 1H,24:00:00,15.8,4.0,79.17,200,425,BOL at 11:00hrs 11-25-20 7spm on hand,2020-11-26
2300,THORNY DEVIL 2H,24:00:00,38.96,131.47,19.17,180,120,,2020-11-26
2301,THORNY DEVIL 3H,24:00:00,20.88,24.79,12.92,180,90,,2020-11-26
2302,WOMBAT 2H,24:00:00,13.41,38.52,16.67,140,80,,2020-11-26
2304,CROC 1H,24:00:00,18.3,9.59,6.67,200,70,"12on/12off, 6.5spm",2020-11-25
2305,GALAH 3H,24:00:00,36.34,131.44,12.5,180,90,,2020-11-25
2306,GOANNA 1H,24:00:00,22.96,32.78,16.67,100,90,,2020-11-25
2307,GREAT WHITE 1H,24:00:00,61.67,57.0,16.67,125,90,,2020-11-25
2308,GREAT WHITE 2H,24:00:00,41.46,57.0,15.0,125,90,,2020-11-25
2309,JAVELINA 1H,24:00:00,20.01,17.0,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-25
2310,MANTA 1H,24:00:00,16.51,36.81,19.53,200,80,Avg- 6.5spm,2020-11-25
2311,REEF 3H,24:00:00,26.62,45.52,16.66,200,70,6.5spm,2020-11-25
2312,RIDGEBACK 1H,24:00:00,16.71,21.0,3.33,120,80,7.1spm,2020-11-25
2313,SEA WASP 2H,24:00:00,17.97,47.75,3.33,200,80,,2020-11-25
2314,STINGRAY 2H,24:00:00,10.03,4.0,10.0,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-25
2319,Summary,,384.92,662.73,173.27,,,,2020-11-25
2315,THORNY DEVIL 1H,24:00:00,0.01,4.0,0.01,0,0,W/O,2020-11-25
2316,THORNY DEVIL 2H,24:00:00,42.35,128.87,26.66,180,120,,2020-11-25
2317,THORNY DEVIL 3H,24:00:00,34.67,32.97,2.92,180,90,,2020-11-25
2318,WOMBAT 2H,24:00:00,18.5,37.0,16.66,140,80,,2020-11-25
2320,CROC 1H,24:00:00,7.48,8.36,5.0,200,70,"12on/12off, 6.5spm",2020-11-24
2321,GALAH 3H,24:00:00,26.73,130.4,10.0,180,90,,2020-11-24
2322,GOANNA 1H,24:00:00,25.08,49.68,18.33,120,90,,2020-11-24
2323,GREAT WHITE 1H,24:00:00,61.66,64.0,40.33,125,90,,2020-11-24
2324,GREAT WHITE 2H,24:00:00,55.01,79.0,33.0,125,90,,2020-11-24
2325,JAVELINA 1H,24:00:00,20.0,17.0,8.33,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-24
2326,MANTA 1H,24:00:00,29.29,35.03,12.56,200,80,Avg- 6.5spm,2020-11-24
2327,REEF 3H,24:00:00,42.0,38.09,12.09,200,70,6.5spm,2020-11-24
2328,RIDGEBACK 1H,24:00:00,18.38,17.0,1.67,120,80,7.1spm,2020-11-24
2329,SEA WASP 2H,24:00:00,18.37,57.09,3.75,250,80,,2020-11-24
2330,STINGRAY 2H,24:00:00,25.08,9.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-24
2335,Summary,,391.93,706.62,193.38,,,,2020-11-24
2331,THORNY DEVIL 1H,24:00:00,0.01,4.0,0.01,0,0,W/O,2020-11-24
2332,THORNY DEVIL 2H,24:00:00,34.45,133.05,27.08,180,120,,2020-11-24
2333,THORNY DEVIL 3H,24:00:00,10.03,18.92,1.24,180,90,,2020-11-24
2334,WOMBAT 2H,24:00:00,18.37,46.0,20.0,140,80,,2020-11-24
2336,CROC 1H,24:00:00,10.81,15.96,0.01,1857,0,"12on/12off, 6.5spm",2020-11-23
2337,GALAH 3H,24:00:00,25.07,132.02,25.0,180,90,Pinhole waterleg on heater,2020-11-23
2338,GOANNA 1H,24:00:00,24.26,43.9,6.67,110,90,,2020-11-23
2339,GREAT WHITE 1H,24:00:00,58.06,65.0,15.33,125,90,,2020-11-23
2340,GREAT WHITE 2H,24:00:00,38.33,51.0,13.0,125,90,,2020-11-23
2341,JAVELINA 1H,24:00:00,25.01,17.0,5.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-23
2342,MANTA 1H,24:00:00,29.29,36.88,22.36,200,80,Avg- 6.5spm.,2020-11-23
2343,REEF 3H,24:00:00,23.18,32.72,3.33,200,70,6.5spm,2020-11-23
2344,RIDGEBACK 1H,24:00:00,16.71,9.0,5.0,120,80,7.1spm,2020-11-23
2345,SEA WASP 2H,24:00:00,18.39,58.02,3.33,260,80,,2020-11-23
2346,STINGRAY 2H,24:00:00,20.06,6.0,0.01,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-23
2351,Summary,,362.41,662.27,102.79,,,,2020-11-23
2347,THORNY DEVIL 1H,0:00,0.01,0.01,0.01,0,0,W/O,2020-11-23
2348,THORNY DEVIL 2H,24:00:00,43.18,130.83,16.67,180,120,,2020-11-23
2349,THORNY DEVIL 3H,24:00:00,11.69,25.94,11.67,180,90,,2020-11-23
2350,WOMBAT 2H,24:00:00,18.37,38.0,18.34,140,80,,2020-11-23
2352,CROC 1H,24:00:00,16.64,10.19,6.66,200,70,"12on/12off, 6.5spm",2020-11-22
2353,GALAH 3H,24:00:00,33.41,131.66,13.34,180,90,,2020-11-22
2354,GOANNA 1H,24:00:00,20.08,36.36,13.33,127,90,,2020-11-22
2355,GREAT WHITE 1H,24:00:00,45.0,60.0,37.34,125,90,,2020-11-22
2356,GREAT WHITE 2H,24:00:00,63.33,91.0,35.0,125,90,,2020-11-22
2357,JAVELINA 1H,24:00:00,20.0,17.0,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-22
2358,MANTA 1H,24:00:00,27.89,40.13,18.13,200,80,Avg- 6.5spm.,2020-11-22
2359,REEF 3H,24:00:00,24.99,54.34,23.75,200,70,6.5spm,2020-11-22
2360,RIDGEBACK 1H,24:00:00,20.06,7.0,6.67,120,80,7.1spm,2020-11-22
2361,SEA WASP 2H,24:00:00,6.68,25.29,1.67,100,80,surged and pumped up gas locked,2020-11-22
2362,STINGRAY 2H,24:00:00,0.01,5.0,10.0,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-22
2367,Summary,,249.5,677.25,224.22,,,,2020-11-22
2363,THORNY DEVIL 1H,0:00,0.01,0.01,0.01,0,0,W/O,2020-11-22
2364,THORNY DEVIL 2H,24:00:00,41.94,127.0,26.67,180,120,,2020-11-22
2365,THORNY DEVIL 3H,24:00:00,18.39,32.28,3.33,180,90,,2020-11-22
2366,WOMBAT 2H,24:00:00,18.38,40.0,18.33,140,80,,2020-11-22
2368,CROC 1H,24:00:00,6.65,9.55,4.59,200,70,"12on/12off, 6.5spm",2020-11-21
2369,GALAH 3H,24:00:00,38.44,131.12,11.66,180,90,,2020-11-21
2370,GOANNA 1H,24:00:00,24.67,41.02,19.17,100,90,,2020-11-21
2371,GREAT WHITE 1H,24:00:00,71.67,63.0,9.66,125,90,,2020-11-21
2372,GREAT WHITE 2H,24:00:00,31.67,46.0,7.0,125,90,,2020-11-21
2373,JAVELINA 1H,24:00:00,20.01,18.0,6.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-21
2374,MANTA 1H,24:00:00,29.29,38.11,18.14,200,80,Avg- 6.5spm.,2020-11-21
2375,REEF 3H,24:00:00,0.01,31.72,5.42,200,70,6.5spm,2020-11-21
2376,RIDGEBACK 1H,24:00:00,15.1,7.0,3.33,120,80,7.1spm,2020-11-21
2377,SEA WASP 2H,24:00:00,13.37,50.4,8.33,150,80,,2020-11-21
2378,STINGRAY 2H,24:00:00,36.78,40.0,26.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-21
2383,Summary,,366.01,666.69,165.64,,,,2020-11-21
2379,THORNY DEVIL 1H,0:00,0.01,4.0,0.01,0,0,W/O,2020-11-21
2380,THORNY DEVIL 2H,24:00:00,39.86,124.62,25.0,180,120,,2020-11-21
2381,THORNY DEVIL 3H,24:00:00,20.12,20.15,1.67,180,90,,2020-11-21
2382,WOMBAT 2H,24:00:00,18.37,42.0,18.33,140,80,,2020-11-21
2384,CROC 1H,24:00:00,13.31,17.18,6.66,200,70,"12on/12off, 6.5spm",2020-11-20
2385,GALAH 3H,24:00:00,37.08,131.48,12.92,180,90,,2020-11-20
2386,GOANNA 1H,24:00:00,15.87,40.5,14.16,80,1313,,2020-11-20
2387,GREAT WHITE 1H,24:00:00,50.9,59.0,35.0,125,90,,2020-11-20
2388,GREAT WHITE 2H,24:00:00,42.18,86.0,25.0,125,90,,2020-11-20
2389,JAVELINA 1H,24:00:00,20.0,17.0,10.0,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-20
2390,MANTA 1H,24:00:00,30.69,38.38,20.22,200,80,Avg- 6.5spm.,2020-11-20
2391,REEF 3H,24:00:00,24.96,49.18,18.74,200,70,6.5spm,2020-11-20
2392,RIDGEBACK 1H,24:00:00,15.12,7.0,5.0,120,80,7.1spm,2020-11-20
2393,SEA WASP 2H,24:00:00,14.06,50.84,3.75,280,80,,2020-11-20
2394,STINGRAY 2H,24:00:00,23.41,7.0,1.66,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-20
2399,Summary,,366.24,697.1,203.11,,,,2020-11-20
2395,THORNY DEVIL 1H,24:00:00,0.01,4.0,0.01,50,50,Down hole failure W/O MIRU shut down unit,2020-11-20
2396,THORNY DEVIL 2H,24:00:00,42.76,122.77,18.75,180,120,,2020-11-20
2397,THORNY DEVIL 3H,24:00:00,17.53,23.77,11.25,180,90,chemical treat,2020-11-20
2398,WOMBAT 2H,24:00:00,18.37,43.0,20.0,140,80,,2020-11-20
2400,CROC 1H,24:00:00,21.62,11.21,14.59,200,70,"12on/12off, 6.5spm",2020-11-19
2401,GALAH 3H,24:00:00,29.66,132.02,15.42,180,90,,2020-11-19
2402,GOANNA 1H,24:00:00,22.57,47.97,20.42,100,1415,,2020-11-19
2403,GREAT WHITE 1H,24:00:00,66.67,73.26,23.67,125,90,,2020-11-19
2404,GREAT WHITE 2H,24:00:00,51.67,51.65,22.0,125,90,,2020-11-19
2405,JAVELINA 1H,24:00:00,20.01,16.0,8.33,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-19
2406,MANTA 1H,24:00:00,23.73,40.52,21.63,200,80,"Avg- 6.5spm, chem treated",2020-11-19
2407,REEF 3H,24:00:00,30.37,31.55,2.51,200,70,6.5spm,2020-11-19
2408,RIDGEBACK 1H,24:00:00,13.96,7.0,5.0,120,80,7.1spm,2020-11-19
2409,SEA WASP 2H,24:00:00,8.77,25.1,0.01,250,80,,2020-11-19
2410,STINGRAY 2H,24:00:00,15.04,4.0,8.34,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-19
2415,Summary,,396.08,648.03,195.25,,,,2020-11-19
2411,THORNY DEVIL 1H,24:00:00,9.97,6.99,9.16,50,50,Hotoiled 110/20 with freshwater separator bypassed slowed pumping unit to 5 smp,2020-11-19
2412,THORNY DEVIL 2H,24:00:00,41.52,124.37,21.67,180,120,,2020-11-19
2413,THORNY DEVIL 3H,24:00:00,20.48,31.6,5.84,180,90,,2020-11-19
2414,WOMBAT 2H,24:00:00,20.04,44.79,16.67,140,80,,2020-11-19
2416,CROC 1H,24:00:00,9.98,7.18,0.01,200,70,"12on/12off, 6.5spm",2020-11-18
2417,GALAH 3H,24:00:00,31.33,128.33,8.33,180,90,Chem treated,2020-11-18
2418,GOANNA 1H,24:00:00,22.6,32.81,13.75,120,90,,2020-11-18
2419,GREAT WHITE 1H,24:00:00,50.0,64.11,16.33,125,90,,2020-11-18
2420,GREAT WHITE 2H,24:00:00,43.33,69.37,17.0,125,90,,2020-11-18
2421,JAVELINA 1H,24:00:00,16.72,14.55,11.67,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-18
2422,MANTA 1H,24:00:00,212.45,32.37,13.95,200,80,Avg- 6.5spm,2020-11-18
2423,REEF 3H,24:00:00,36.2,46.68,16.25,200,70,6.5spm,2020-11-18
2424,RIDGEBACK 1H,24:00:00,18.38,7.2,5.0,120,80,7.1spm,2020-11-18
2425,SEA WASP 2H,24:00:00,13.36,46.6,3.75,250,80,Chem treated,2020-11-18
2426,STINGRAY 2H,24:00:00,18.39,4.0,3.33,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-18
2431,Summary,,580.96,708.04,163.53,,,,2020-11-18
2427,THORNY DEVIL 1H,24:00:00,25.77,65.22,8.34,180,100,,2020-11-18
2428,THORNY DEVIL 2H,24:00:00,40.69,124.66,20.0,180,120,,2020-11-18
2429,THORNY DEVIL 3H,24:00:00,20.05,21.87,0.01,180,90,,2020-11-18
2430,WOMBAT 2H,24:00:00,21.71,43.09,25.0,140,80,,2020-11-18
2432,CROC 1H,24:00:00,6.65,8.98,10.41,909,0,"12on/12off, 6.5spm",2020-11-17
2433,GALAH 3H,24:00:00,35.51,131.53,14.17,180,90,,2020-11-17
2434,GOANNA 1H,24:00:00,18.91,46.34,17.5,100,90,,2020-11-17
2435,GREAT WHITE 1H,24:00:00,63.33,61.62,27.67,125,90,,2020-11-17
2436,GREAT WHITE 2H,24:00:00,55.0,65.78,24.0,125,90,,2020-11-17
2437,JAVELINA 1H,24:00:00,15.16,13.52,1.66,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-17
2438,MANTA 1H,24:00:00,30.68,38.71,25.14,200,80,Avg- 6.5spm,2020-11-17
2439,REEF 3H,24:00:00,29.95,31.5,7.91,200,70,6.5spm,2020-11-17
2440,RIDGEBACK 1H,24:00:00,15.04,7.4,3.33,120,80,7.1spm,2020-11-17
2441,SEA WASP 2H,24:00:00,20.06,54.59,4.17,250,80,,2020-11-17
2442,STINGRAY 2H,24:00:00,35.11,27.96,16.67,200,100,"12hrs on/12hrs off, 6.6spm",2020-11-17
2447,Summary,,434.04,778.65,215.96,,,,2020-11-17
2443,THORNY DEVIL 1H,24:00:00,34.91,98.66,17.5,180,100,,2020-11-17
2444,THORNY DEVIL 2H,24:00:00,39.85,125.63,20.83,180,120,,2020-11-17
2445,THORNY DEVIL 3H,24:00:00,13.79,25.84,6.67,180,90,,2020-11-17
2446,WOMBAT 2H,24:00:00,20.09,40.59,18.33,140,80,,2020-11-17
2448,CROC 1H,24:00:00,9.98,15.15,3.33,200,70,"12on/12off, 6.5spm",2020-11-16
2449,GALAH 3H,24:00:00,36.76,133.5,11.67,180,90,,2020-11-16
2450,GOANNA 1H,24:00:00,23.42,45.99,15.0,100,90,,2020-11-16
2451,GREAT WHITE 1H,24:00:00,51.28,74.0,21.67,125,90,Chem Treated(11/16),2020-11-16
2452,GREAT WHITE 2H,24:00:00,43.58,61.0,20.0,125,90,,2020-11-16
2453,JAVELINA 1H,12:00,0.01,16.0,6.67,130,80,"12hrs on/12hrs off, 7.3spm(DOA-Murphy kill, snap pilot blew). BOL.",2020-11-16
2454,MANTA 1H,24:00:00,25.11,38.63,22.32,200,80,Avg- 6.5spm,2020-11-16
2455,REEF 3H,24:00:00,24.96,54.75,23.33,200,70,6.5spm,2020-11-16
2456,RIDGEBACK 1H,24:00:00,16.71,7.0,3.34,120,80,7.1spm,2020-11-16
2457,SEA WASP 2H,24:00:00,9.6,40.09,4.17,250,80,,2020-11-16
2458,STINGRAY 2H,24:00:00,10.04,4.0,1.66,200,100,"12hrs on/12hrs off, 6.6spm.",2020-11-16
2463,Summary,,358.68,790.22,206.9,,,,2020-11-16
2459,THORNY DEVIL 1H,24:00:00,39.96,100.48,19.16,180,100,,2020-11-16
2460,THORNY DEVIL 2H,24:00:00,36.66,125.45,20.0,180,120,,2020-11-16
2461,THORNY DEVIL 3H,24:00:00,16.29,34.18,12.91,180,90,,2020-11-16
2462,WOMBAT 2H,24:00:00,14.0,40.0,21.67,140,80,,2020-11-16
2464,CROC 1H,24:00:00,24.96,14.01,15.0,200,70,"12on/12off, 6.5spm",2020-11-15
2465,GALAH 3H,24:00:00,38.02,131.94,13.33,180,90,,2020-11-15
2466,GOANNA 1H,24:00:00,23.42,32.15,6.67,130,90,,2020-11-15
2467,GREAT WHITE 1H,24:00:00,64.18,76.0,10.0,125,90,,2020-11-15
2468,GREAT WHITE 2H,24:00:00,54.17,78.0,12.0,125,90,,2020-11-15
2469,JAVELINA 1H,24:00:00,30.54,16.0,7.09,130,80,"12hrs on/12hrs off, 7.3spm",2020-11-15
2470,MANTA 1H,24:00:00,30.68,43.41,22.32,200,80,Avg- 6.5spm,2020-11-15
2471,REEF 3H,24:00:00,39.94,36.11,8.34,200,70,6.5spm,2020-11-15
2472,RIDGEBACK 1H,24:00:00,17.96,6.0,1.25,120,80,7.1spm,2020-11-15
2473,SEA WASP 2H,24:00:00,15.46,55.93,6.66,250,80,,2020-11-15
2474,STINGRAY 2H,24:00:00,17.55,4.0,2.51,200,100,"12hrs on/12hrs off, 6.6spm.",2020-11-15
2479,Summary,,489.24,787.65,167.26,,,,2020-11-15
2475,THORNY DEVIL 1H,24:00:00,41.56,104.37,19.17,180,100,,2020-11-15
2476,THORNY DEVIL 2H,24:00:00,41.52,121.66,20.83,180,120,,2020-11-15
2477,THORNY DEVIL 3H,24:00:00,27.15,24.07,1.25,180,90,,2020-11-15
2478,WOMBAT 2H,24:00:00,22.13,44.0,20.84,140,80,,2020-11-15
2480,CROC 1H,24:00:00,6.68,7.83,3.34,200,70,"12on/12off, 6.5spm",2020-11-14
2481,GALAH 3H,24:00:00,25.83,131.59,11.25,180,90,,2020-11-14
2482,GOANNA 1H,24:00:00,23.42,48.19,11.66,100,90,,2020-11-14
2483,GREAT WHITE 1H,24:00:00,62.49,77.83,17.5,125,90,,2020-11-14
